year,all_opioids,opioid_pain_relievers,heroin
1999,8048,4030,1960
2000,8407,4400,1842
2001,9492,5528,1779
2002,11917,7456,2089
2003,12939,8517,2080
2004,13755,9857,1878
2005,14917,10928,2009
2006,17545,13723,2088
2007,18515,14408,2399
2008,19582,14800,3041
2009,20422,15597,3278
2010,21088,16651,3036
2011,22784,16917,4397
2012,23164,16007,5925
2013,25050,16235,8257
2014,28647,18893,10574
2015,33091,22598,12989
